Unnamed: 0,Image,Review Text,Processed_Review,Feature_Extraction
1743,"['Downloaded_Images/61kCyfAeq-L._SY88.jpg', 'Downloaded_Images/71srB75y1LL._SY88.jpg', 'Downloaded_Images/81JevfsmHkL._SY88.jpg']","I gave a cheaper neck a shot. I am blown away by the look of this neck. The stain used is just enough to highlight the grain nicely and the clear coat is darn near perfect. I figured a lot of time would be during the ""adjustment"" phase of the build. Nothing else had to be done once the neck was set and bolted on. What a pleasant surprise since in past builds I'd spent an hour or more getting them set. I've used Fender and Warmoth before that cost 3 times and more than this one. The proof had been in the pudding though. This neck has been on this guitar for over a year now. No problems. I use this guitar as a back up and play it quite frequently on gigs. I buy more!",gave cheaper neck shot blown away look neck stain use enough highlight grain nice clear coat darn near perfect figur lot time would adjust phase build noth el done neck set bolt pleasant surpris sinc past build spent hour get set use fender warmoth cost 3 time one proof pud though neck guitar year problem use guitar back play quit frequent gig buy,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 19.372524,
        0.      ], dtype=float32), array([ 0.      , 11.820435,  0.      , ...,  0.      , 17.66703 ,
        0.      ], dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 10.006388,
        0.      ], dtype=float32)]"
3710,['Downloaded_Images/614m5CUST7L._SY88.jpg'],"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Dunlop-CBM95-Cry-Baby-Mini-Wah/dp/B00SKJGWCI/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Dunlop CBM95 Cry Baby Mini Wah</a>

It is better to put it on the pedal board than gcb95. True bypass and three modes are supported, which is much better than gcb95. It would have been nice if it supported the led. team kill ..",dunlop cbm95 cri babi mini wah better put pedal board gcb95 true bypass three mode support much better gcb95 would nice support led team kill,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
1664,['Downloaded_Images/71rPvq9ZAPL._SY88.jpg'],"Absolutely amazing! I think they are direct knock-off of Seymour Duncan SH-2 Jazz Model Humbucker Pickups. (you can see the same little holes on each of pups) Powerful, bright sound, no noise. My old Johnson LP with ex ""EMG-ish""  pickups are now fully awake and angry in a good way. Great quality! Thanks everyone for good review.",absolut amaz think direct seymour duncan jazz model humbuck pickup see littl hole pup power bright sound nois old johnson lp ex pickup fulli awak angri good way great qualiti thank everyon good review,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
394,['Downloaded_Images/71ic7hkewiL._SY88.jpg'],"Its a pick holder. It does what its supposed to. I mainly use Fender medium picks, and have a few Fender heavy picks around. I don't have any thin picks. Itll hold 6 heavy picks or 9 medium picks. I would imagine it would hold 11 or 12 thin picks.",pick holder suppos mainli use fender medium pick fender heavi pick around thin pick itll hold 6 heavi pick 9 medium pick would imagin would hold 11 12 thin pick,"[array([0.       , 0.       , 0.       , ..., 0.       , 7.5612574,
       0.       ], dtype=float32)]"
1819,"['Downloaded_Images/61KdaAUshwL._SY88.jpg', 'Downloaded_Images/71zriquspkL._SY88.jpg', 'Downloaded_Images/61lAMAeamzL._SY88.jpg', 'Downloaded_Images/61QOfHtEI5L._SY88.jpg']",kinda flimsy but oit does the job,kinda flimsi oit job,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 31.141066,
        0.      ], dtype=float32), array([ 0.       ,  0.       ,  0.       , ...,  0.       , 10.460027 ,
        7.2584095], dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 21.019646,
        0.      ], dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 18.421852,
        0.      ], dtype=float32)]"
672,"['Downloaded_Images/51fyLunjnYL._SY88.jpg', 'Downloaded_Images/51zHQdv4n1L._SY88.jpg']",This is a fine EQ.  It sounds good and I'm  thinking of getting another one  for right and left  speaker.,fine eq sound good think get anoth one right left speaker,"[array([ 0.       ,  0.       ,  0.       , ...,  0.       , 21.642923 ,
        7.4007745], dtype=float32), array([0.       , 0.       , 0.       , ..., 0.       , 5.2702785,
       0.       ], dtype=float32)]"
2740,"['Downloaded_Images/511PA48WoEL._SY88.jpg', 'Downloaded_Images/61se7Pgt7QL._SY88.jpg']","Over the period of a month, one of the two cables failed. When I unplugged it, the actual quarter inch end broke off as I was pulling the cable out as I normally do at the end of practicing or a show, and got stuck in my amp so thanks to this, I have to spend money and time that I don't have to get my amp fixed with the broken cable and buy a better, stronger, more durable cable that won't break when I pull it out of the amp.",period month one two cabl fail unplug actual quarter inch end broke pull cabl normal end practic show got stuck amp thank spend money time get amp fix broken cabl buy better stronger durabl cabl wo break pull amp,"[array([0.       , 0.       , 1.2442598, ..., 0.       , 8.594376 ,
       0.       ], dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 31.412125,
        0.      ], dtype=float32)]"
2836,['Downloaded_Images/61EkhxlNl6L._SY88.jpg'],"This Gator guitar hanger is sturdy, attractive, and easy to install.  It comes with wall anchors for drywall, and long screws.  The hangers are rubber coated to prevent finish damage.  The instructions are simple and I had this installed in under 5 minutes.  There are no screws visible once the unit is on the wall.  I was initially worried that the guitar would hang too close to the wall, however it is a good 3.5"" away.  It did take some ""oomph"" to get the actual hanger prongs parallel to the floor, but it certainly feels solidly locked in.  I was fortunate enough to have a location where a stud was available (and I would highly recommend using a stud for the install), however 2 heavy duty screw-in wall anchors also come with the unit for drywall mounting.  I much prefer this clean look to having the guitar on a floor stand in the corner where it tends to gather dust and dog hair. Ugh.",gator guitar hanger sturdi attract easi instal come wall anchor drywal long screw hanger rubber coat prevent finish damag instruct simpl instal 5 minut screw visibl unit wall initi worri guitar would hang close wall howev good away take oomph get actual hanger prong parallel floor certainli feel solidli lock fortun enough locat stud avail would highli recommend use stud instal howev 2 heavi duti wall anchor also come unit drywal mount much prefer clean look guitar floor stand corner tend gather dust dog hair ugh,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
2453,['Downloaded_Images/71zJMYMpDbL._SY88.jpg'],"I bought this item because it had good reviews and it was cost effective compared to the top name brands. So far I have only used this item in a practice setting, but it does exactly as it states. I have noticed if the product is left on for several hours it gets a little warm, but it doesn't seem to be any sort of issue

12V and 18V out allows for easy hookup into those oddball pedals (just make sure you don't plug your 9V pedal into one of those slots).

I would recommend this item to anybody compiling their first pedal board. I know you can just pop a 9V battery in most pedals and away you go, but...

Running the cost comparison of this power supply to 9V batteries makes it pretty obvious that this power supply is worth every penny. Plus you never have to worry about a dead battery in your loop ruining a gig.",bought item good review cost effect compar top name brand far use item practic set exactli state notic product left sever hour get littl warm seem sort issu 12v 18v allow easi hookup oddbal pedal make sure plug 9v pedal one slot would recommend item anybodi compil first pedal board know pop 9v batteri pedal away go run cost comparison power suppli 9v batteri make pretti obviou power suppli worth everi penni plu never worri dead batteri loop ruin gig,"[array([ 4.2441053,  0.       ,  1.5147388, ..., 47.539337 ,  0.       ,
        0.       ], dtype=float32)]"
364,['Downloaded_Images/21QKLix+GCL._SY88.jpg'],"You really cant beat it for the price, however, I would not use it for really heavy lights. Its only rated for 50lbs anyway. If you have some LED fixtures, a couple lasers (attached picture).... then this is perfect. Heavy scanners, and other large format lights (even if only using one ~40 lbs) I would not use. It only feels secure enough for a couple smaller lights and a fogger. Just buy it!!! You could always use it in your entertainment center and or, mobile DJ rig for some sort of light application.",realli cant beat price howev would use realli heavi light rate 50lb anyway led fixtur coupl laser attach pictur perfect heavi scanner larg format light even use one lb would use feel secur enough coupl smaller light fogger buy could alway use entertain center mobil dj rig sort light applic,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 27.614687,
        0.      ], dtype=float32)]"
818,['Downloaded_Images/716PE4iRuFL._SY88.jpg'],"I have never used AKG microphones before. I decided to take a chance on this from all the great reviews. They were right! I used this to record a Taylor 914CE, the sound was chrisp, great mid and just enough low to not overpower the sound. I totally recommend this for vocals and acoustic guitar recording!",never use akg microphon decid take chanc great review right use record taylor 914ce sound chrisp great mid enough low overpow sound total recommend vocal acoust guitar record,"[array([0.       , 0.       , 0.       , ..., 1.9101664, 0.       ,
       0.       ], dtype=float32)]"
3705,"['Downloaded_Images/51OuPPtNnWL._SY88.jpg', 'Downloaded_Images/71mCH1uxgSL._SY88.jpg', 'Downloaded_Images/71pMtSbThnL._SY88.jpg']","It's hard to give less than 5 stars because this light is just an amazing value. It packs a serious punch in terms of output and feels quite sturdy. It has a very thin profile and the housing is a thick rugged plastic. Mounting hardware feels smooth and easy to adjust. The display on the back is larger than other lights of this style which is nice when configuring DMX channels. I control mine via a software DMX system, so I can't speak for the built-in modes. It has worked flawlessly in a DMX environment.

I was curious how this light would perform vs. the more expensive 4-in-1 style, and to my surprise the color-mixing is very smooth and has very litle 'rainbow' effect when used as a wash/uplight. I recently played a gig at a winery and used this light for back-lighting the stage. This light is on the rear-left in the attached pictures, with the GBGS 8Wx9 on the right.

Potential cons: Hard-wired power cord, somewhat loud fan ( not noticeable in a live music context )",hard give le 5 star light amaz valu pack seriou punch term output feel quit sturdi thin profil hous thick rug plastic mount hardwar feel smooth easi adjust display back larger light style nice configur dmx channel control mine via softwar dmx system ca speak mode work flawlessli dmx environ curiou light would perform expens style surpris smooth litl effect use recent play gig wineri use light stage light attach pictur gbg 8wx9 right potenti con power cord somewhat loud fan notic live music context,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 13.514843,
        0.      ], dtype=float32), array([ 0.       ,  0.       ,  0.       , ...,  0.       ,  0.8194134,
       19.903576 ], dtype=float32), array([0.       , 0.       , 0.       , ..., 0.       , 2.6857884,
       4.8623486], dtype=float32)]"
1890,['Downloaded_Images/71k-Zu-q8fL._SY88.jpg'],"I really love the fretwraps, they're really usefull, specially when you need to record something and want a really clean sound, or when you are a bass player that loves the slapping technique. After i got my first set, i liked it so much that i ended up buying it in different colors!",realli love fretwrap realli useful special need record someth want realli clean sound bass player love slap techniqu got first set like much end buy differ color,"[array([ 9.818582,  0.      ,  0.      , ..., 51.430157, 32.661808,
        0.      ], dtype=float32)]"
1572,"['Downloaded_Images/71Xkg9cSpKL._SY88.png', 'Downloaded_Images/71yqtJMEX5L._SY88.png']","I wanted to customize my fake plastic rock band guitar&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Beatles-Rock-Band-X360-Wireless-Rickenbacker-325-Guitar-Controller/dp/B0028N13GC/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Beatles: Rock Band X360 Wireless Rickenbacker 325 Guitar Controller</a>&nbsp;with inexpensive tuning pegs. These fit the bill and I'm happy with the end result.
Pictures of finished project uploaded in uploaded customer images.
However, if I needed tuning pegs on my real guitar, I would surely go with a better choice. Pay a little more for better quality.",want custom fake plastic rock band guitar nbsp beatl rock band x360 wireless rickenback 325 guitar control nbsp inexpens tune peg fit bill happi end result pictur finish project upload upload custom imag howev need tune peg real guitar would sure go better choic pay littl better qualiti,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
649,['Downloaded_Images/714cPWTdHnL._SY88.jpg'],"These went on my new Strat a day after my white Strat came home. The only reason is for you! Changing strings in no time. Do they do anything else, nope.",went new strat day white strat came home reason chang string time anyth el nope,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 10.356431,
        0.      ], dtype=float32)]"
3023,"['Downloaded_Images/71I1vaR18cL._SY88.jpg', 'Downloaded_Images/71OAynTNCmL._SY88.jpg']",Perfect Fit!! Color match is very close.  Great product!! Added pickguard to a Les Paul Studio Deluxe..,perfect fit color match close great product ad pickguard le paul studio delux,"[array([0.      , 0.      , 0.      , ..., 0.      , 9.439089, 0.      ],
      dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
527,['Downloaded_Images/81SpERYsfcL._SY88.jpg'],Very stable and sturdy.... Well worth the $$ to protect your expensive gear,stabl sturdi well worth protect expens gear,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 33.577522,
        0.      ], dtype=float32)]"
1039,"['Downloaded_Images/51EeEv1rFNL._SY88.jpg', 'Downloaded_Images/51j9QVqzcNL._SY88.jpg', 'Downloaded_Images/61FGfBhDxEL._SY88.jpg']","I've been playing for 9 years and was worried this won't be on par with the mid-end guitar I've been using. The guitar both looks and feels great. The finish is very well done. It's got a warm and full sound to it that I really enjoyed, that at times I found myself reluctant to stop playing. And I was really pleased with how smooth the fretting was, it felt like it took less effort to move between the frets and press down than on several guitars I've played on previously.

The only gripe I have is that the fret position markers (dots) are really dark and hard to spot (see pictures). But that's not a deal breaker by any means, since when playing you would normally look at the markers on the side of the neck, which were pretty clear. Still, aesthetically the dark markers don't look as nice.

But overall I was quite impressed, especially for such a great price. You know a guitar is good when it encourages you to play more often again, and makes it hard to stop and put it down.",play 9 year worri wo par guitar use guitar look feel great finish well done got warm full sound realli enjoy time found reluct stop play realli plea smooth fret felt like took le effort move fret press sever guitar play previous gripe fret posit marker dot realli dark hard spot see pictur deal breaker mean sinc play would normal look marker side neck pretti clear still aesthet dark marker look nice overal quit impress especi great price know guitar good encourag play often make hard stop put,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 23.048702,
        0.      ], dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([0.       , 0.       , 0.       , ..., 0.       , 3.1341588,
       0.       ], dtype=float32)]"
2543,"['Downloaded_Images/61TEnw+Pg7L._SY88.jpg', 'Downloaded_Images/71ijOM3VkkL._SY88.jpg']","Gamechanger mixer. One of the few things that has been made in this century that is decent. I use it in a studio rack that replaced a Mackie 1202VLZ, a Yamaha REV500 DSP and a Behringer 31 band DEQ2496. Was a little reluctant to replace all these devices, but over time I gave in as I learned/experimented more with this mixer. I control it with an IPAD Air 2- prefer it over Android as I can place the RTA, the EQ and the channel strip all on the same screen without having to toggle. My only small gripe is that updates and development of the IOS XAir app have not been much of a priority (2 years between 1.42 and 1.5?) . It can be a little overwhelming- after 6 months, I'm still learning more about it and that's a good thing- they'res stuff I can do with this mixer that I could not do with any analogue mixer I've had/used. Love the idea that I can take the IPAD and roam.",gamechang mixer one thing made centuri decent use studio rack replac macki 1202vlz yamaha rev500 dsp behring 31 band deq2496 littl reluct replac devic time gave mixer control ipad air prefer android place rta eq channel strip screen without toggl small gripe updat develop io xair app much prioriti 2 year littl 6 month still learn good stuff mixer could analogu mixer love idea take ipad roam,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
1191,['Downloaded_Images/51K80K2y51L._SY88.jpg'],"Great product and price. I bought these panels for a home studio, mostly for mixing a tracking as I don't do much live recording there. There is definitely a difference and the early reflections from the monitors are lessened (to my ears anyway). They did the job I needed and they look good too! I opted to pin them to the wall with t-pins instead of using adhesive. For my use it works well and I can remove them with little or no damage to the wall. I ordered a second box to put in a pattern on the one remain wall that could use some treatment.

If you are looking for acoustic foam absorption panels, take a look at these.",great product price bought panel home studio mostli mix track much live record definit differ earli reflect monitor lessen ear anyway job need look good opt pin wall instead use adhes use work well remov littl damag wall order second box put pattern one remain wall could use treatment look acoust foam absorpt panel take look,"[array([0.       , 0.       , 0.       , ..., 0.       , 3.8924484,
       0.       ], dtype=float32)]"
590,['Downloaded_Images/61jFeizn-KL._SY88.jpg'],"It's really flexible on how you're planning to put on top of it. The only small con is the top surface, you might wanna get a cheap Ikea board for it so you can throw anything. I put my guitar amp head (around 40lbs I think), and two monitor speakers without a problem. Love it!",realli flexibl plan put top small con top surfac might wan na get cheap ikea board throw anyth put guitar amp head around 40lb think two monitor speaker without problem love,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 14.608674,
        0.      ], dtype=float32)]"
2357,['Downloaded_Images/61rSlbzNN8L._SY88.jpg'],Works nicely on my guitar thanks.,work nice guitar thank,"[array([ 0.      ,  0.      ,  0.      , ...,  0.      , 12.425207,
        0.      ], dtype=float32)]"
668,['Downloaded_Images/618I1bEQ7OL._SY88.jpg'],"I had read another review in here from someone using this with the MXL V67G after popping out the existing mounting ring with a flat blade screwdriver, so I took a chance and ordered one for myself.  That guy was 100% correct! I just popped out the existing mounting ring with a flat blade and my V67G slipped right in and could be tighly secured using the black mounting ring supplied with the V67G.

I had read a lot of negative reviews about the MXL shockmount for this microphone so I didn't want that one.  This shockmount bears a striking resemblance to the MXL 890 shockmount that came standard with my 890 vocal mic and with the same quality of construction.  The price is definitely more than fair for what you get here!

So... If you have an MXL V67G order with confidence!  I would say that this would be a much better choice than the MXL alternative.

I was also blown away how fast Amazon got this thing to me!  I ordered it last night and it showed up on my front porch this afternoon!",read anoth review someon use mxl v67g pop exist mount ring flat blade screwdriv took chanc order one guy 100 correct pop exist mount ring flat blade v67g slip right could tighli secur use black mount ring suppli v67g read lot neg review mxl shockmount microphon want one shockmount bear strike resembl mxl 890 shockmount came standard 890 vocal mic qualiti construct price definit fair get mxl v67g order confid would say would much better choic mxl altern also blown away fast amazon got thing order last night show front porch afternoon,"[array([0.      , 0.      , 0.      , ..., 0.      , 0.      , 5.247618],
      dtype=float32)]"
1648,['Downloaded_Images/81aA5CM2rUL._SY88.jpg'],Works & sounds beautifully. Would recommend this to anybody!,work sound beauti would recommend anybodi,"[array([ 0.       ,  1.5623565,  0.       , ...,  0.       ,  9.453268 ,
       37.800163 ], dtype=float32)]"
469,"['Downloaded_Images/816L2xBUnKL._SY88.jpg', 'Downloaded_Images/71tbV521USL._SY88.jpg']","Thus should be a 5 star review, but sadly, it's only a 3. I bought a cymbal off of eBay that was a mess. I got it for next to nothing and figured I would clean it up. Cleaner sure worked well and then THANKFULLY I read to not use on the Letters. Holy cow I was this close to cleaning up those areas when thankfully someone called me and I read the entire bottle to the very end.

So the finished product is what you see. A far better cleaned up cymbal but still looks like a wreck around the Letters. Oh well. Light years better than the eBay mess I bought. But I sorely wish I could clean around the lettering with no fear of losing the lettering. You would think Zildjian would be able to make a cleaning product that works well around the Letters, no?",thu 5 star review sadli 3 bought cymbal ebay mess got next noth figur would clean cleaner sure work well thank read use letter holi cow close clean area thank someon call read entir bottl end finish product see far better clean cymbal still look like wreck around letter oh well light year better ebay mess bought sore wish could clean around letter fear lose letter would think zildjian would abl make clean product work well around letter,"[array([ 0.     ,  0.     ,  0.     , ...,  0.     , 20.82336,  0.     ],
      dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 15.022402,
        0.      ], dtype=float32)]"
2331,"['Downloaded_Images/71LMmCfZIWL._SY88.jpg', 'Downloaded_Images/61O5LRSKtTL._SY88.jpg', 'Downloaded_Images/71wH0-ksYJL._SY88.jpg', 'Downloaded_Images/71wKl7KERSL._SY88.jpg']",This light is awesome!!! Very bright with 54 one watt diodes. Throws a nice medium wash they are great. The only down side I have with them is a power cable being attached to the fixture instead of an iec cable. It has dmx in and out. The housing is a very tough plastic and also includes the hanging bracket. The par is a flat par which is great for up lighting. I think this is a great fixture so I give it a 5 stars,light awesom bright 54 one watt diod throw nice medium wash great side power cabl attach fixtur instead iec cabl dmx hous tough plastic also includ hang bracket par flat par great light think great fixtur give 5 star,"[array([0.      , 0.      , 0.      , ..., 0.      , 8.004507, 0.      ],
      dtype=float32), array([0.      , 0.      , 0.      , ..., 0.      , 8.024143, 0.      ],
      dtype=float32), array([ 0.        ,  0.        ,  0.        , ...,  0.02595011,
       22.100315  ,  0.        ], dtype=float32), array([0.       , 0.       , 0.       , ..., 0.       , 6.7279253,
       0.       ], dtype=float32)]"
464,"['Downloaded_Images/71-9MV+Oi-L._SY88.jpg', 'Downloaded_Images/71mrrfpbvQL._SY88.jpg', 'Downloaded_Images/71evhsJNOCL._SY88.jpg']","these capos are easy to use, high quality materials, flawless mecanism, adjustable pressure, an investment for a life. Just be know that there are two versions:
 Perfomance 1 (discontinued) : Extremely nice pressure and good looking, a little bulky, but non intrussive, the best choice for long scale guitar (25.4"").
Performance 2 (new version) : light and narrow, easy to handle with one hand, the only con is that It lacks a little in pressure (compared to P1). i will use It in a short scale (24.9"") guitar.
pd: i have only try It on my acoustic 25.4 scale Martin 1 3/4 "" neck. i own both and i love the Performance 1 better. Look at the pics to see the differences between both.",capo easi use high qualiti materi flawless mecan adjust pressur invest life know two version perfom 1 discontinu extrem nice pressur good look littl bulki non intruss best choic long scale guitar perform 2 new version light narrow easi handl one hand con lack littl pressur compar p1 use short scale guitar pd tri acoust scale martin 1 neck love perform 1 better look pic see differ,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([ 0.       ,  0.       ,  0.       , ...,  3.8909762, 26.779327 ,
        4.9872847], dtype=float32)]"
